16.62783,49.15783,MCDONALD'S,619 00 BRNO
16.6046,49.17771,MCDONALD'S (MCDRIVE),639 00 BRNO
18.18604,49.82753,MCDONALD'S,708 00 OSTRAVA
14.28737,50.0534,MCDONALD'S,155 21 PRAHA
14.29429,50.05032,MCDONALD'S (MCDRIVE),155 21 PRAHA
14.94309,50.40831,MCDONALD'S (MCDRIVE),293 01 MLAD� BOLESLAV
14.91159,50.42547,MCDONALD'S (MCDRIVE),293 01 MLAD� BOLESLAV
16.63391,49.13503,MCDONALD'S,664 42 MOD?ICE
12.87158,50.22934,MCDONALD'S,360 01 KARLOVY VARY
14.32279,50.09291,MCDONALD'S (MCDRIVE),161 00 PRAHA
14.51839,50.05388,MCDONALD'S (MCDRIVE),102 00 PRAHA
14.42454,50.01443,MCDONALD'S (MCDRIVE),143 00 PRAHA
18.29114,49.83471,MCDONALD'S,702 00 OSTRAVA
16.61085,49.19144,MCDONALD'S,602 00 BRNO
16.61369,49.18751,MCDONALD'S (MCDRIVE),602 00 BRNO
15.05199,50.74227,MCDONALD'S (MCDRIVE),463 12 LIBEREC
14.54463,50.00879,MCDONALD'S (MCDRIVE),149 00 PRAHA
16.75971,49.18416,MCDONALD'S (MCDRIVE),664 05 TVARO�N�
14.49418,50.14684,MCDONALD'S,182 00 PRAHA
15.77089,50.03617,MCDONALD'S,530 02 PARDUBICE
14.49213,50.0318,MCDONALD'S,148 00 PRAHA
14.58283,50.10776,MCDONALD'S,198 00 PRAHA
14.58707,50.10629,MCDONALD'S,198 00 PRAHA
14.268,50.10521,MCDONALD'S-PRAHA RUZYN?,161 00 PRAHA
14.56971,50.00391,MCDONALD'S (MCDRIVE),252 43 PR?HONICE
14.21794,50.03376,MCDONALD'S (MCDRIVE),252 19 RUDN�
14.21319,50.03306,MCDONALD'S (MCDRIVE),252 19 RUDN�
14.11543,50.13099,MCDONALD'S (MCDRIVE),272 01 KLADNO
13.64071,50.50496,MCDONALD'S (MCDRIVE),434 01 MOST
12.60293,49.67876,MCDONALD'S (MCDRIVE),348 06 ROZVADOV
14.48328,48.97443,MCDONALD'S (MCDRIVE),370 01 ?ESK� BUD?JOVICE
14.68786,49.39507,MCDONALD'S (MCDRIVE),390 02 T�BOR
18.22385,49.80006,MCDONALD'S (MCDRIVE),700 30 OSTRAVA
15.94709,49.37785,MCDONALD'S (MCDRIVE),594 42 STR�NECK� ZHO?
17.25012,49.59411,MCDONALD'S (MCDRIVE),779 00 OLOMOUC
15.05764,50.76951,MCDONALD'S,460 01 LIBEREC
17.66649,49.22659,MCDONALD'S,760 05 ZL�N
17.57123,49.20408,MCDONALD'S (MCDRIVE),763 02 ZL�N
14.40292,50.07197,MCDONALD'S,150 00 PRAHA
15.83431,50.21749,MCDONALD'S (MCDRIVE),500 03 HRADEC KR�LOV�
15.84812,50.1971,MCDONALD'S,500 12 HRADEC KR�LOV�
17.22951,49.57336,MCDONALD'S (MCDRIVE),779 00 OLOMOUC
15.59094,49.39526,MCDONALD'S (MCDRIVE),586 01 JIHLAVA
14.46943,48.99278,MCDONALD'S (MCDRIVE),370 04 ?ESK� BUD?JOVICE
14.04,50.65984,MCDONALD'S (MCDRIVE),400 01 �ST� NAD LABEM
13.98232,50.68999,MCDONALD'S (MCDRIVE),400 10 �ST� NAD LABEM
16.03256,49.35377,MCDONALD'S (MCDRIVE),594 01 VELK� MEZI?�?�
15.08156,50.12037,MCDONALD'S (MCDRIVE),290 01 POD?BRADY
14.42495,50.08514,MCDONALD'S,110 00 PRAHA
14.42583,50.08269,MCDONALD'S,110 00 PRAHA
14.44537,50.09829,MCDONALD'S,170 00 PRAHA
14.41077,50.06291,MCDONALD'S (MCDRIVE),150 00 PRAHA
14.4395,50.05162,MCDONALD'S,140 00 PRAHA
14.40259,50.07196,MCDONALD'S (MCDRIVE),150 00 PRAHA
15.69808,50.13916,MCDONALD'S (MCDRIVE),503 26 OSICE
13.37951,49.74338,MCDONALD'S (MCDRIVE),301 00 PLZE?
-3.17817,51.48171,MCDONALD'S,CF10 2 CARDIFF
-3.40173,51.75104,MCDONALD'S (MCDRIVE),CF48 1 MERTHYR TYDFIL
-3.37758,51.74448,MCDONALD'S,CF47 8 MERTHYR TYDFIL
-3.44764,51.71654,MCDONALD'S (MCDRIVE),CF44 8 ABERDARE
-4.13383,51.67751,MCDONALD'S (MCDRIVE),SA14 9 LLANELLI
-3.02157,51.6554,MCDONALD'S,NP44 1 CWMBRAN
-3.4548,51.63027,MCDONALD'S (MCDRIVE),CF40 2 LLWYNYPIA
-3.94373,51.62019,MCDONALD'S,SA1 3 SWANSEA
-3.79312,51.59419,MCDONALD'S (MCDRIVE),SA12 6 ABERAVON
-2.99674,51.59589,MCDONALD'S (MCDRIVE),NP20 5 NEWPORT
-2.99692,51.58823,MCDONALD'S,NP20 1 NEWPORT
-2.94481,51.57429,MCDONALD'S (MCDRIVE),NP19 4 LISWERRY
