,size,timing
0,1000,0.18529105186462402
1,2000,0.23598170280456543
2,3000,0.18636012077331543
3,4000,0.19592499732971191
4,5000,0.18919825553894043
5,6000,0.24760198593139648
6,7000,0.24202704429626465
7,8000,0.254436731338501
8,9000,0.40849900245666504
9,10000,0.3012089729309082
10,11000,0.31417179107666016
11,12000,0.33014702796936035
12,13000,0.3623979091644287
13,14000,0.40139293670654297
14,15000,0.37946295738220215
15,16000,0.4176461696624756
16,17000,0.4329109191894531
17,18000,0.44798994064331055
18,19000,0.4692699909210205
19,20000,0.5788478851318359
20,21000,0.5245199203491211
21,22000,0.5561609268188477
22,23000,0.5486948490142822
23,24000,0.5631630420684814
24,25000,0.634958028793335
25,26000,0.6418168544769287
26,27000,0.6416678428649902
27,28000,0.6567397117614746
28,29000,0.6831409931182861
29,30000,0.6898670196533203
30,31000,0.7051069736480713
31,32000,0.7510898113250732
32,33000,0.7419300079345703
33,34000,0.8639287948608398
34,35000,0.7821371555328369
35,36000,1.5978260040283203
36,37000,0.9533181190490723
37,38000,0.9371609687805176
38,39000,0.9428160190582275
39,40000,0.905674934387207
40,41000,0.9437828063964844
41,42000,0.9720931053161621
42,43000,1.0084562301635742
43,44000,1.0104608535766602
44,45000,1.010815143585205
45,46000,1.0447502136230469
46,47000,1.0732460021972656
47,48000,1.1313979625701904
48,49000,1.1605701446533203
49,50000,1.1388399600982666
50,51000,1.2031018733978271
51,52000,1.2121942043304443
52,53000,1.3465540409088135
53,54000,1.2596251964569092
54,55000,1.2751929759979248
55,56000,1.2661709785461426
56,57000,1.2986109256744385
57,58000,1.3212568759918213
58,59000,1.3475329875946045
59,60000,1.3590738773345947
60,61000,1.418299913406372
61,62000,1.7174890041351318
62,63000,1.4768450260162354
63,64000,1.437147855758667
64,65000,1.4632527828216553
65,66000,1.5222530364990234
66,67000,1.5257432460784912
67,68000,1.5406029224395752
68,69000,1.5635979175567627
69,70000,1.5658161640167236
70,71000,1.5787310600280762
71,72000,1.7619221210479736
72,73000,1.6416521072387695
73,74000,1.7178030014038086
74,75000,1.8055028915405273
75,76000,1.803351879119873
76,77000,1.9701030254364014
77,78000,1.8699870109558105
78,79000,1.787527084350586
79,80000,2.8523130416870117
80,81000,1.8946809768676758
81,82000,1.89013671875
82,83000,1.8853259086608887
83,84000,1.9585371017456055
84,85000,1.9537999629974365
85,86000,2.184903144836426
86,87000,2.1071202754974365
87,88000,2.0352749824523926
88,89000,2.131376266479492
89,90000,2.0569536685943604
90,91000,2.0819623470306396
91,92000,2.1022539138793945
92,93000,2.116370916366577
93,94000,2.351356029510498
94,95000,2.258881092071533
95,96000,2.328994035720825
96,97000,2.2597298622131348
97,98000,2.2357330322265625
98,99000,2.305946111679077
99,100000,2.5177600383758545
