,size,timing,k,circles
0,10000,0.9870920181274414,15,15
1,10000,1.0833549499511719,15,16
2,10000,1.0389139652252197,15,17
3,10000,1.0056638717651367,15,18
4,10000,1.0911552906036377,15,19
5,10000,1.0089106559753418,15,20
6,10000,1.0525827407836914,15,21
7,10000,1.0263607501983643,15,22
8,10000,1.0263259410858154,15,23
9,10000,1.0690999031066895,15,24
10,10000,1.085848093032837,15,25
11,10000,1.1089131832122803,15,26
12,10000,1.1288819313049316,15,27
13,10000,1.0897347927093506,15,28
14,10000,1.2052199840545654,15,29
15,10000,1.2452428340911865,15,30
16,10000,1.21697998046875,15,31
17,10000,1.32523512840271,15,32
18,10000,1.1753149032592773,15,33
19,10000,1.2133681774139404,15,34
20,10000,1.202868938446045,15,35
21,10000,1.1697280406951904,15,36
22,10000,1.188568115234375,15,37
23,10000,1.1811912059783936,15,38
24,10000,1.1967461109161377,15,39
25,10000,1.2052459716796875,15,40
26,10000,1.2359058856964111,15,41
27,10000,1.2281157970428467,15,42
28,10000,1.243346929550171,15,43
29,10000,1.2312121391296387,15,44
30,10000,1.2337799072265625,15,45
31,10000,1.2792878150939941,15,46
32,10000,1.2912890911102295,15,47
33,10000,1.2809529304504395,15,48
34,10000,1.359752893447876,15,49
35,10000,1.2876019477844238,15,50
36,10000,1.404634952545166,15,51
37,10000,1.3381919860839844,15,52
38,10000,1.3481559753417969,15,53
39,10000,1.477118968963623,15,54
40,10000,1.4212050437927246,15,55
41,10000,1.406728982925415,15,56
42,10000,1.3231313228607178,15,57
43,10000,1.380781888961792,15,58
44,10000,1.4057447910308838,15,59
45,10000,1.3468611240386963,15,60
46,10000,1.3973450660705566,15,61
47,10000,1.4068541526794434,15,62
48,10000,1.4327051639556885,15,63
49,10000,1.560744047164917,15,64
50,10000,1.5700278282165527,15,65
51,10000,1.4856228828430176,15,66
52,10000,1.4663360118865967,15,67
53,10000,1.5041968822479248,15,68
54,10000,1.561680793762207,15,69
55,10000,1.5472960472106934,15,70
56,10000,1.5503008365631104,15,71
57,10000,1.5905859470367432,15,72
58,10000,1.6517918109893799,15,73
59,10000,1.6612353324890137,15,74
60,10000,1.698228120803833,15,75
61,10000,1.7217738628387451,15,76
62,10000,1.744917869567871,15,77
63,10000,1.747868299484253,15,78
64,10000,1.7771198749542236,15,79
65,10000,1.8355059623718262,15,80
66,10000,1.862401008605957,15,81
67,10000,1.8338649272918701,15,82
68,10000,1.822131872177124,15,83
69,10000,1.7812740802764893,15,84
70,10000,1.820742130279541,15,85
71,10000,1.8605318069458008,15,86
72,10000,1.879702091217041,15,87
73,10000,1.8740770816802979,15,88
74,10000,1.8465230464935303,15,89
75,10000,1.840831995010376,15,90
76,10000,1.8449971675872803,15,91
77,10000,1.8908872604370117,15,92
78,10000,1.9031670093536377,15,93
79,10000,1.8456614017486572,15,94
80,10000,1.8475701808929443,15,95
81,10000,1.9001500606536865,15,96
82,10000,1.885545253753662,15,97
83,10000,1.9653992652893066,15,98
84,10000,1.9278411865234375,15,99
