,size,timing,k,circles
0,10000,0.9051239490509033,15,15
1,10000,0.9324479103088379,15,16
2,10000,0.9081921577453613,15,17
3,10000,0.9249773025512695,15,18
4,10000,0.942471981048584,15,19
5,10000,0.9428908824920654,15,20
6,10000,0.9685482978820801,15,21
7,10000,0.9842710494995117,15,22
8,10000,0.9924490451812744,15,23
9,10000,1.0069000720977783,15,24
10,10000,1.0506799221038818,15,25
11,10000,1.0329959392547607,15,26
12,10000,1.037689208984375,15,27
13,10000,1.061518907546997,15,28
14,10000,1.0771477222442627,15,29
15,10000,1.083418846130371,15,30
16,10000,1.091284990310669,15,31
17,10000,1.1158108711242676,15,32
18,10000,1.1036150455474854,15,33
19,10000,1.1372039318084717,15,34
20,10000,1.1412849426269531,15,35
21,10000,1.1398580074310303,15,36
22,10000,1.2837631702423096,15,37
23,10000,1.203387975692749,15,38
24,10000,1.1608519554138184,15,39
25,10000,1.1724441051483154,15,40
26,10000,1.1987390518188477,15,41
27,10000,1.2433228492736816,15,42
28,10000,1.1994271278381348,15,43
29,10000,1.2728219032287598,15,44
30,10000,1.2771639823913574,15,45
31,10000,1.2240030765533447,15,46
32,10000,1.2329800128936768,15,47
33,10000,1.2373461723327637,15,48
34,10000,1.2489280700683594,15,49
35,10000,1.239126205444336,15,50
36,10000,1.2971961498260498,15,51
37,10000,1.2770707607269287,15,52
38,10000,1.279529094696045,15,53
39,10000,1.2727859020233154,15,54
40,10000,1.3077380657196045,15,55
41,10000,1.2909338474273682,15,56
42,10000,1.3515408039093018,15,57
43,10000,1.3054800033569336,15,58
44,10000,1.302489995956421,15,59
45,10000,1.3688559532165527,15,60
46,10000,1.3202261924743652,15,61
47,10000,1.3347718715667725,15,62
48,10000,1.3514480590820312,15,63
49,10000,1.3454961776733398,15,64
50,10000,1.3769779205322266,15,65
51,10000,1.406130075454712,15,66
52,10000,1.4719557762145996,15,67
53,10000,1.4837901592254639,15,68
54,10000,1.5830509662628174,15,69
55,10000,1.5355579853057861,15,70
56,10000,1.6162011623382568,15,71
57,10000,1.5879490375518799,15,72
58,10000,1.5844099521636963,15,73
59,10000,1.5982511043548584,15,74
60,10000,1.6191277503967285,15,75
61,10000,1.637526035308838,15,76
62,10000,1.6952950954437256,15,77
63,10000,1.747098684310913,15,78
64,10000,1.6965570449829102,15,79
65,10000,1.7296171188354492,15,80
66,10000,1.73866605758667,15,81
67,10000,1.7227940559387207,15,82
68,10000,1.7287139892578125,15,83
69,10000,1.755863904953003,15,84
70,10000,1.7623658180236816,15,85
71,10000,1.7713618278503418,15,86
72,10000,1.809239149093628,15,87
73,10000,1.8272058963775635,15,88
74,10000,1.7766201496124268,15,89
75,10000,1.780113935470581,15,90
76,10000,1.8111472129821777,15,91
77,10000,1.8269691467285156,15,92
78,10000,1.8358049392700195,15,93
79,10000,1.8102810382843018,15,94
80,10000,1.8318440914154053,15,95
81,10000,1.9007847309112549,15,96
82,10000,1.8770370483398438,15,97
83,10000,1.8874990940093994,15,98
84,10000,1.8792140483856201,15,99
85,10000,0.8953020572662354,15,15
86,10000,0.8873929977416992,15,16
87,10000,0.9716057777404785,15,17
88,10000,0.921522855758667,15,18
89,10000,0.9880907535552979,15,19
90,10000,1.0137050151824951,15,20
91,10000,0.9849410057067871,15,21
92,10000,0.9929227828979492,15,22
93,10000,0.990652322769165,15,23
94,10000,1.0027880668640137,15,24
95,10000,1.0186669826507568,15,25
96,10000,1.0361359119415283,15,26
97,10000,1.0607998371124268,15,27
98,10000,1.0414979457855225,15,28
99,10000,1.0789148807525635,15,29
100,10000,1.0512189865112305,15,30
101,10000,1.0872981548309326,15,31
102,10000,1.0740721225738525,15,32
103,10000,1.1011509895324707,15,33
104,10000,1.1078307628631592,15,34
105,10000,1.150285005569458,15,35
106,10000,1.136423110961914,15,36
107,10000,1.115058183670044,15,37
108,10000,1.1427791118621826,15,38
109,10000,1.139087200164795,15,39
110,10000,1.172591209411621,15,40
111,10000,1.1767048835754395,15,41
112,10000,1.1840167045593262,15,42
113,10000,1.1927711963653564,15,43
114,10000,1.217076301574707,15,44
115,10000,1.2045888900756836,15,45
116,10000,1.1983578205108643,15,46
117,10000,1.2677288055419922,15,47
118,10000,1.223327875137329,15,48
119,10000,1.2326688766479492,15,49
120,10000,1.2475688457489014,15,50
121,10000,1.2639431953430176,15,51
122,10000,1.2714109420776367,15,52
123,10000,1.3028652667999268,15,53
124,10000,1.295854091644287,15,54
125,10000,1.3016998767852783,15,55
126,10000,1.308593988418579,15,56
127,10000,1.3219759464263916,15,57
128,10000,1.3164029121398926,15,58
129,10000,1.3390860557556152,15,59
130,10000,1.3291871547698975,15,60
131,10000,1.3570761680603027,15,61
132,10000,1.389251947402954,15,62
133,10000,1.3525209426879883,15,63
134,10000,1.3672609329223633,15,64
135,10000,1.3702149391174316,15,65
136,10000,1.4056761264801025,15,66
137,10000,1.4131660461425781,15,67
138,10000,1.453568696975708,15,68
139,10000,1.4696712493896484,15,69
140,10000,1.5078442096710205,15,70
141,10000,1.6094658374786377,15,71
142,10000,1.53245210647583,15,72
143,10000,1.595261812210083,15,73
144,10000,1.5873470306396484,15,74
145,10000,1.6236047744750977,15,75
146,10000,1.636828899383545,15,76
147,10000,1.6719868183135986,15,77
148,10000,1.7126648426055908,15,78
149,10000,1.7394168376922607,15,79
150,10000,1.7896051406860352,15,80
151,10000,1.7519490718841553,15,81
152,10000,1.743185043334961,15,82
153,10000,1.706752061843872,15,83
154,10000,1.7559280395507812,15,84
155,10000,1.7616240978240967,15,85
156,10000,1.7962088584899902,15,86
