,size,timing
0,500,1.8989901542663574
1,1000,0.7244489192962646
2,1500,0.6806309223175049
3,2000,0.9180941581726074
4,2500,1.6389787197113037
5,3000,0.9913451671600342
6,3500,0.9222588539123535
7,4000,0.9827477931976318
8,4500,1.0538268089294434
9,5000,1.1556940078735352
10,5500,1.2439789772033691
11,6000,1.4447011947631836
12,6500,1.229996919631958
13,7000,1.3406150341033936
14,7500,1.4586308002471924
15,8000,1.4326350688934326
16,8500,1.457205057144165
17,9000,1.5559520721435547
18,9500,1.4472482204437256
19,10000,1.447382926940918
20,10500,1.5013818740844727
21,11000,1.7269959449768066
22,11500,1.7429099082946777
23,12000,1.6686718463897705
24,12500,1.6804232597351074
25,13000,2.390766143798828
26,13500,1.8861839771270752
27,14000,1.8324460983276367
28,14500,1.7919800281524658
29,15000,1.8127028942108154
30,15500,2.183326005935669
31,16000,1.9173610210418701
32,16500,1.9231278896331787
33,17000,2.0698459148406982
34,17500,2.0966901779174805
35,18000,2.158682107925415
36,18500,2.1164753437042236
37,19000,2.449220895767212
38,19500,2.2479429244995117
39,20000,2.863151788711548
40,20500,2.2877848148345947
41,21000,2.2114408016204834
42,21500,2.250169038772583
43,22000,2.2797939777374268
44,22500,2.2915570735931396
45,23000,2.391568899154663
46,23500,2.4640891551971436
47,24000,2.586158037185669
48,24500,2.5457112789154053
49,25000,2.868922233581543
50,25500,2.5129897594451904
51,26000,2.5311930179595947
52,26500,2.8252453804016113
53,27000,2.601119041442871
54,27500,2.6057960987091064
55,28000,2.6714212894439697
56,28500,2.734369993209839
57,29000,2.711974859237671
58,29500,3.5460221767425537
59,30000,2.7158961296081543
60,30500,2.7795591354370117
61,31000,2.9254872798919678
62,31500,3.6766140460968018
63,32000,3.0303738117218018
64,32500,2.883661985397339
65,33000,2.927184820175171
66,33500,3.499267101287842
67,34000,2.928325891494751
68,34500,2.9642138481140137
69,35000,3.0387089252471924
70,35500,3.053589105606079
71,36000,3.088705062866211
72,36500,3.483572006225586
73,37000,3.1051719188690186
74,37500,3.1098618507385254
75,38000,3.9681637287139893
76,38500,3.8892741203308105
77,39000,3.2776870727539062
78,39500,3.1926212310791016
79,40000,3.2761499881744385
80,40500,3.0697460174560547
81,41000,3.288522958755493
82,41500,3.1819939613342285
83,42000,3.602357864379883
84,42500,3.24782395362854
85,43000,3.189603805541992
86,43500,3.476752758026123
87,44000,3.129976987838745
88,44500,3.1961803436279297
89,45000,3.176939010620117
90,45500,3.234158992767334
91,46000,3.710559129714966
92,46500,3.2597970962524414
93,47000,3.3212759494781494
94,47500,3.299955129623413
95,48000,3.2927072048187256
96,48500,3.422091007232666
97,49000,3.3089139461517334
98,49500,3.3780550956726074
99,50000,4.113203048706055
