,size,timing,k,circles
177,145000,16.644264936447144,15,42
178,150000,17.551076889038086,15,43
179,155000,18.255295991897583,15,44
180,160000,19.293340921401978,15,45
181,165000,19.954244136810303,15,46
182,170000,20.85164999961853,15,47
183,175000,21.866557836532593,15,48
184,180000,22.48804211616516,15,49
185,185000,23.605709075927734,15,50
186,190000,24.46562671661377,15,51
187,195000,25.05148410797119,15,52
188,200000,26.342228174209595,15,53
189,205000,27.497675895690918,15,54
190,210000,28.279397010803223,15,55
191,215000,28.666698932647705,15,56
192,220000,29.768256902694702,15,57
193,225000,31.101956844329834,15,58
194,230000,31.69302487373352,15,59
195,235000,32.801284074783325,15,60
196,240000,34.19937586784363,15,61
197,245000,35.071662187576294,15,62
198,250000,36.11335110664368,15,63
199,255000,37.107990980148315,15,64
200,255000,1.0528738498687744,15,15
201,15000,1.4647459983825684,15,16
202,20000,1.9163110256195068,15,17
203,25000,2.187100887298584,15,18
204,30000,2.5567400455474854,15,19
205,35000,2.9417378902435303,15,20
206,40000,3.3797922134399414,15,21
207,45000,3.8630330562591553,15,22
208,50000,4.4060118198394775,15,23
209,55000,4.987164258956909,15,24
210,60000,5.368499755859375,15,25
211,65000,5.906439781188965,15,26
212,70000,6.381310939788818,15,27
213,75000,7.083012104034424,15,28
214,80000,7.676370859146118,15,29
215,85000,8.137934923171997,15,30
216,90000,8.741712808609009,15,31
217,95000,9.365448951721191,15,32
218,100000,10.038893938064575,15,33
219,105000,10.702637195587158,15,34
220,110000,11.682843208312988,15,35
221,115000,12.456385135650635,15,36
222,120000,12.952245950698853,15,37
223,125000,13.774102926254272,15,38
224,130000,14.36504316329956,15,39
225,135000,14.826193809509277,15,40
226,140000,15.76766586303711,15,41
227,145000,16.514191150665283,15,42
228,150000,17.18687415122986,15,43
229,155000,17.833870887756348,15,44
230,160000,18.87445092201233,15,45
231,165000,19.779448747634888,15,46
232,170000,20.345322847366333,15,47
233,175000,22.05644130706787,15,48
234,180000,22.153605937957764,15,49
235,185000,22.778820753097534,15,50
236,190000,23.6321861743927,15,51
237,195000,24.776921272277832,15,52
238,200000,26.496503829956055,15,53
239,205000,27.603434085845947,15,54
240,210000,28.657394886016846,15,55
241,215000,29.330885887145996,15,56
242,220000,30.277244091033936,15,57
243,225000,30.729148864746094,15,58
244,230000,31.465972900390625,15,59
245,235000,32.409584283828735,15,60
246,240000,34.081258058547974,15,61
247,245000,35.64109206199646,15,62
248,250000,35.63891887664795,15,63
