,size,timing,k,circles
0,10000,1.1910290718078613,15,15
1,10000,1.0381989479064941,15,16
2,10000,1.0284712314605713,15,17
3,10000,1.0161919593811035,15,18
4,10000,1.0548207759857178,15,19
5,10000,1.0616788864135742,15,20
6,10000,1.0410168170928955,15,21
7,10000,1.0809111595153809,15,22
8,10000,1.0990099906921387,15,23
9,10000,1.1511669158935547,15,24
10,10000,1.1624269485473633,15,25
11,10000,1.210820198059082,15,26
12,10000,1.2407560348510742,15,27
13,10000,1.1765861511230469,15,28
14,10000,1.1993319988250732,15,29
15,10000,1.1623308658599854,15,30
16,10000,1.1806061267852783,15,31
17,10000,1.1859440803527832,15,32
18,10000,1.1712701320648193,15,33
19,10000,1.2395222187042236,15,34
20,10000,1.1600098609924316,15,35
21,10000,1.179656982421875,15,36
22,10000,1.2833032608032227,15,37
23,10000,1.2426989078521729,15,38
24,10000,1.1995470523834229,15,39
25,10000,1.233553171157837,15,40
26,10000,1.2499721050262451,15,41
27,10000,1.2351820468902588,15,42
28,10000,1.2562100887298584,15,43
29,10000,1.264543056488037,15,44
30,10000,1.3591139316558838,15,45
31,10000,1.2976629734039307,15,46
32,10000,1.3166296482086182,15,47
33,10000,1.2953600883483887,15,48
34,10000,1.2987759113311768,15,49
35,10000,1.4777350425720215,15,50
36,10000,1.375641107559204,15,51
37,10000,1.4035007953643799,15,52
38,10000,1.3691341876983643,15,53
39,10000,1.340425968170166,15,54
40,10000,1.339719295501709,15,55
41,10000,1.345750093460083,15,56
42,10000,1.4080510139465332,15,57
43,10000,1.4050350189208984,15,58
44,10000,1.3577051162719727,15,59
45,10000,1.3922040462493896,15,60
46,10000,1.4163460731506348,15,61
47,10000,1.3643031120300293,15,62
48,10000,1.4355709552764893,15,63
49,10000,1.4390592575073242,15,64
50,10000,1.5148069858551025,15,65
51,10000,1.4443929195404053,15,66
52,10000,1.4885969161987305,15,67
53,10000,1.49867582321167,15,68
54,10000,1.5555419921875,15,69
55,10000,1.5543248653411865,15,70
56,10000,1.5950889587402344,15,71
57,10000,1.7865028381347656,15,72
58,10000,1.6958527565002441,15,73
59,10000,1.6564102172851562,15,74
60,10000,1.6515161991119385,15,75
61,10000,1.6691579818725586,15,76
62,10000,1.7512907981872559,15,77
63,10000,1.779322862625122,15,78
64,10000,1.7813990116119385,15,79
65,10000,1.7995939254760742,15,80
66,10000,1.822613000869751,15,81
67,10000,1.824186086654663,15,82
68,10000,1.8251397609710693,15,83
69,10000,1.8993580341339111,15,84
70,10000,1.85589599609375,15,85
71,10000,1.8868279457092285,15,86
72,10000,1.8723409175872803,15,87
73,10000,1.9289257526397705,15,88
74,10000,1.855975866317749,15,89
75,10000,1.8783528804779053,15,90
76,10000,1.8899009227752686,15,91
77,10000,1.860435962677002,15,92
78,10000,1.889721155166626,15,93
79,10000,1.8618638515472412,15,94
80,10000,1.8745763301849365,15,95
81,10000,1.868192195892334,15,96
82,10000,1.8823492527008057,15,97
83,10000,1.9176502227783203,15,98
84,10000,1.949357032775879,15,99
